3840 words found.
E (1, 2): 	sou
E (27, 43): 	eel
E (27, 44): 	elm
E (28, 22): 	lew
E (29, 7): 	qua
E (3, 12): 	hap
E (3, 3): 	hip
E (3, 34): 	tog
E (3, 39): 	hot
E (30, 3): 	thou
E (30, 35): 	dip
E (31, 23): 	rho
E (31, 24): 	hoi
E (31, 25): 	oil
E (31, 43): 	ail
E (31, 53): 	coo
E (31, 62): 	aura
E (32, 24): 	sew
E (32, 46): 	ten
E (32, 66): 	for
E (32, 9): 	yon
E (33, 17): 	oboe
E (33, 23): 	coat
E (33, 24): 	oat
E (33, 25): 	ate
E (33, 58): 	bile
E (34, 4): 	oak
E (34, 55): 	boo
E (35, 11): 	sap
E (35, 2): 	nib
E (35, 21): 	same
E (35, 23): 	mead
E (35, 33): 	hog
E (35, 51): 	hew
E (36, 32): 	poke
E (36, 34): 	key
E (36, 37): 	vow
E (36, 6): 	shad
E (36, 7): 	had
E (37, 48): 	cop
E (38, 4): 	unit
E (38, 5): 	nit
E (38, 62): 	raj
E (39, 18): 	was
E (39, 20): 	sic
E (4, 36): 	iii
E (4, 49): 	cow
E (4, 51): 	wah
E (4, 63): 	urn
E (4, 7): 	mop
E (40, 29): 	ami
E (40, 6): 	vet
E (41, 22): 	lad
E (41, 22): 	lady
E (41, 27): 	toe
E (41, 54): 	sib
E (41, 58): 	wan
E (41, 62): 	nil
E (42, 11): 	hit
E (43, 15): 	pun
E (43, 33): 	wit
E (43, 60): 	slot
E (43, 61): 	lot
E (43, 67): 	lug
E (44, 40): 	vie
E (44, 64): 	wow
E (44, 65): 	owl
E (45, 11): 	mar
E (45, 14): 	fat
E (45, 14): 	fate
E (45, 15): 	ate
E (45, 32): 	who
E (45, 32): 	whoa
E (45, 4): 	genii
E (45, 45): 	ami
E (45, 65): 	hen
E (46, 2): 	old
E (46, 31): 	poi
E (46, 36): 	neap
E (46, 49): 	ape
E (46, 50): 	pew
E (46, 67): 	pup
E (48, 10): 	pen
E (48, 15): 	meat
E (48, 16): 	eat
E (48, 43): 	ala
E (48, 5): 	ugh
E (48, 56): 	lid
E (49, 52): 	far
E (49, 63): 	hop
E (49, 65): 	ply
E (5, 39): 	bah
E (5, 49): 	spy
E (50, 20): 	sit
E (50, 35): 	job
E (50, 38): 	gum
E (50, 43): 	cud
E (50, 49): 	zag
E (51, 23): 	bel
E (52, 17): 	rude
E (52, 20): 	eke
E (52, 25): 	ret
E (52, 46): 	deer
E (52, 6): 	ami
E (52, 62): 	sip
E (53, 21): 	oak
E (53, 28): 	ion
E (53, 36): 	mot
E (53, 38): 	top
E (53, 44): 	mad
E (53, 45): 	ado
E (53, 6): 	eat
E (53, 7): 	ate
E (54, 65): 	odd
E (55, 2): 	too
E (55, 29): 	cos
E (55, 49): 	lax
E (55, 55): 	pray
E (55, 56): 	ray
E (55, 58): 	yip
E (56, 18): 	aim
E (56, 62): 	qua
E (57, 12): 	seq
E (57, 21): 	fop
E (57, 26): 	zig
E (57, 51): 	lob
E (58, 2): 	sub
E (58, 28): 	fee
E (58, 36): 	ape
E (58, 54): 	cat
E (58, 8): 	tab
E (59, 6): 	fop
E (6, 1): 	home
E (6, 24): 	men
E (6, 26): 	nil
E (6, 61): 	paw
E (6, 8): 	scud
E (6, 9): 	cud
E (60, 14): 	nun
E (60, 47): 	vet
E (60, 53): 	awn
E (61, 1): 	foe
E (61, 10): 	pep
E (61, 21): 	fee
E (61, 29): 	sis
E (61, 64): 	rot
E (62, 6): 	pep
E (63, 10): 	boo
E (63, 44): 	ado
E (64, 43): 	cup
E (64, 5): 	boy
E (64, 53): 	tad
E (65, 34): 	ode
E (65, 38): 	rift
E (65, 62): 	nee
E (66, 36): 	alb
E (66, 36): 	alba
E (66, 60): 	hoe
E (66, 67): 	cot
E (67, 18): 	fun
E (67, 18): 	fund
E (67, 25): 	sac
E (67, 36): 	him
E (68, 0): 	fee
E (68, 21): 	red
E (68, 23): 	dye
E (68, 51): 	pip
E (68, 51): 	pipe
E (68, 62): 	wad
E (68, 62): 	wadi
E (68, 64): 	dim
E (68, 65): 	imp
E (69, 26): 	tot
E (69, 28): 	tau
E (69, 44): 	hob
E (69, 46): 	bin
E (69, 5): 	box
E (7, 14): 	sex
E (7, 60): 	ago
E (7, 63): 	jaw
E (70, 28): 	romp
E (71, 24): 	rut
E (71, 28): 	tax
E (71, 29): 	axe
E (71, 5): 	hop
E (72, 35): 	pax
E (72, 45): 	abc
E (72, 49): 	ere
E (72, 55): 	use
E (72, 62): 	iii
E (73, 23): 	lax
E (73, 57): 	sir
E (73, 67): 	sen
E (74, 16): 	pee
E (74, 36): 	cog
E (74, 52): 	oar
E (75, 20): 	put
E (75, 59): 	woe
E (76, 0): 	age
E (77, 27): 	gel
E (77, 36): 	tee
E (77, 6): 	cur
E (78, 48): 	pod
E (78, 61): 	log
E (78, 61): 	loge
E (79, 33): 	stay
E (79, 43): 	ill
E (8, 1): 	main
E (8, 32): 	gar
E (8, 4): 	non
E (8, 42): 	man
E (8, 55): 	wow
E (80, 55): 	sea
E (80, 6): 	tin
E (81, 0): 	ewe
E (81, 22): 	map
E (81, 23): 	ape
E (81, 25): 	eye
E (81, 55): 	tic
E (82, 33): 	woe
E (82, 42): 	rot
E (82, 54): 	rear
E (82, 55): 	ear
E (82, 56): 	arm
E (83, 17): 	rap
E (83, 17): 	rape
E (83, 18): 	ape
E (83, 29): 	egg
E (83, 33): 	yuh
E (84, 66): 	cam
E (85, 27): 	lee
E (85, 48): 	oaf
E (85, 56): 	qua
E (85, 59): 	bye
E (86, 15): 	gum
E (86, 49): 	dad
E (86, 58): 	vex
E (87, 14): 	viva
E (87, 38): 	rye
E (88, 11): 	due
E (88, 11): 	duet
E (88, 17): 	lew
E (88, 22): 	the
E (89, 37): 	foci
E (89, 46): 	fix
E (89, 65): 	oar
E (89, 67): 	rue
E (9, 12): 	pus
E (9, 36): 	ego
E (9, 57): 	him
E (90, 53): 	tun
E (90, 67): 	cue
E (90, 7): 	sap
E (91, 16): 	maw
E (93, 17): 	opal
E (93, 18): 	pal
E (93, 19): 	alp
E (94, 12): 	oar
E (94, 17): 	are
E (94, 17): 	area
E (94, 36): 	arc
E (94, 5): 	sod
E (95, 22): 	mar
E (95, 22): 	mare
E (95, 23): 	are
E (95, 47): 	maw
E (96, 30): 	rue
E (96, 41): 	dot
E (96, 41): 	dote
E (97, 28): 	got
E (97, 58): 	fee
E (97, 61): 	sup
E (98, 30): 	coo
E (99, 27): 	use
E (99, 41): 	nib
E (99, 66): 	fag
Found words in : 1.55038 seconds.
N (10, 13): 	pun
N (10, 21): 	cow
N (10, 32): 	peg
N (10, 52): 	axe
N (10, 62): 	foe
N (10, 67): 	hop
N (100, 11): 	goal
N (100, 55): 	ham
N (100, 56): 	lee
N (100, 56): 	leek
N (101, 0): 	ago
N (101, 39): 	dig
N (101, 42): 	poi
N (101, 53): 	fum
N (102, 27): 	bun
N (102, 49): 	woe
N (102, 56): 	bel
N (102, 62): 	rev
N (103, 1): 	boo
N (103, 37): 	tic
N (103, 4): 	pug
N (103, 5): 	ion
N (103, 8): 	owe
N (104, 28): 	ire
N (104, 65): 	lot
N (104, 8): 	mow
N (105, 16): 	ivy
N (105, 26): 	foe
N (105, 28): 	wire
N (105, 46): 	nee
N (106, 10): 	coo
N (106, 10): 	cook
N (106, 58): 	tao
N (107, 13): 	poi
N (107, 20): 	mew
N (107, 48): 	men
N (107, 48): 	menu
N (108, 5): 	fay
N (108, 51): 	evil
N (109, 11): 	poi
N (109, 52): 	nee
N (11, 42): 	coy
N (11, 45): 	foam
N (11, 69): 	mop
N (110, 50): 	amp
N (110, 54): 	awl
N (110, 9): 	hid
N (111, 27): 	lie
N (111, 29): 	log
N (111, 54): 	maw
N (111, 67): 	top
N (112, 30): 	ere
N (112, 49): 	row
N (113, 2): 	rig
N (113, 55): 	cot
N (114, 28): 	ala
N (114, 33): 	fum
N (114, 46): 	vow
N (114, 52): 	irk
N (115, 40): 	kid
N (115, 56): 	cab
N (115, 65): 	tea
N (116, 28): 	koala
N (116, 42): 	rag
N (117, 3): 	wad
N (117, 38): 	tan
N (117, 48): 	tip
N (117, 58): 	coo
N (117, 58): 	coon
N (117, 64): 	flu
N (117, 68): 	aim
N (118, 2): 	job
N (118, 61): 	dad
N (119, 16): 	qua
N (119, 23): 	boo
N (119, 35): 	few
N (119, 48): 	hit
N (119, 65): 	beg
N (12, 12): 	pun
N (12, 16): 	hex
N (12, 53): 	lee
N (12, 60): 	erg
N (120, 15): 	fix
N (120, 36): 	ere
N (121, 1): 	tao
N (121, 12): 	lab
N (121, 34): 	way
N (121, 37): 	zoo
N (121, 39): 	ado
N (121, 52): 	sub
N (121, 55): 	don
N (121, 60): 	fag
N (121, 67): 	guy
N (122, 35): 	wan
N (122, 5): 	gem
N (122, 51): 	lam
N (122, 56): 	nod
N (122, 7): 	font
N (123, 1): 	hot
N (123, 11): 	hex
N (123, 25): 	wok
N (123, 32): 	hoi
N (123, 45): 	iii
N (124, 0): 	tam
N (124, 40): 	vet
N (125, 15): 	cop
N (125, 43): 	rod
N (125, 56): 	not
N (125, 67): 	fix
N (126, 13): 	sea
N (126, 45): 	nee
N (126, 68): 	tau
N (127, 50): 	bee
N (128, 45): 	min
N (128, 45): 	mine
N (128, 66): 	yam
N (128, 69): 	ivy
N (128, 8): 	aft
N (129, 37): 	tag
N (13, 12): 	cpu
N (13, 6): 	ion
N (13, 66): 	ere
N (13, 69): 	elm
N (130, 37): 	eta
N (130, 47): 	ana
N (130, 55): 	sip
N (130, 8): 	lea
N (130, 8): 	leaf
N (131, 18): 	bid
N (131, 47): 	ran
N (131, 7): 	jay
N (132, 17): 	lac
N (132, 2): 	gog
N (132, 31): 	bel
N (132, 43): 	yon
N (132, 67): 	roe
N (133, 11): 	bid
N (133, 11): 	bide
N (134, 14): 	war
N (134, 14): 	wary
N (134, 15): 	hap
N (134, 64): 	loy
N (135, 4): 	mew
N (135, 44): 	dot
N (135, 44): 	dote
N (135, 50): 	rod
N (135, 56): 	bow
N (136, 22): 	keg
N (136, 35): 	roe
N (136, 67): 	reb
N (137, 15): 	bid
N (137, 25): 	yaw
N (137, 54): 	bye
N (14, 36): 	out
N (14, 62): 	ate
N (14, 69): 	eel
N (15, 11): 	ana
N (15, 21): 	die
N (15, 36): 	you
N (15, 39): 	bad
N (15, 44): 	aim
N (16, 11): 	ran
N (16, 5): 	eve
N (17, 13): 	fly
N (17, 47): 	gam
N (18, 44): 	kava
N (19, 15): 	yea
N (19, 34): 	root
N (19, 50): 	abc
N (2, 1): 	lab
N (2, 38): 	gun
N (2, 53): 	vet
N (20, 12): 	hip
N (20, 17): 	cue
N (20, 2): 	erg
N (20, 60): 	qua
N (20, 62): 	yaw
N (21, 1): 	wax
N (21, 42): 	pee
N (22, 0): 	jay
N (22, 41): 	tum
N (23, 45): 	ski
N (23, 45): 	skim
N (23, 49): 	bee
N (23, 62): 	eft
N (23, 63): 	ass
N (24, 32): 	mum
N (24, 4): 	yoga
N (24, 45): 	ask
N (24, 60): 	fan
N (24, 7): 	nod
N (25, 40): 	off
N (25, 57): 	vow
N (25, 62): 	reef
N (27, 24): 	nip
N (27, 69): 	irk
N (28, 15): 	sic
N (28, 41): 	jag
N (28, 53): 	ski
N (28, 57): 	hum
N (29, 44): 	ape
N (29, 46): 	fum
N (29, 56): 	nee
N (29, 63): 	yip
N (3, 13): 	ami
N (3, 15): 	sat
N (3, 45): 	jay
N (3, 61): 	nit
N (3, 68): 	nip
N (3, 69): 	pie
N (30, 18): 	mid
N (30, 39): 	mud
N (30, 40): 	romp
N (30, 44): 	sap
N (31, 20): 	ego
N (31, 35): 	ado
N (31, 5): 	lob
N (31, 54): 	oaf
N (31, 67): 	ere
N (32, 12): 	ugh
N (32, 35): 	bad
N (32, 5): 	blob
N (33, 12): 	pug
N (33, 48): 	ink
N (33, 67): 	foe
N (33, 9): 	rye
N (34, 31): 	sub
N (34, 46): 	oat
N (35, 12): 	alp
N (35, 20): 	nee
N (35, 25): 	ala
N (35, 27): 	eke
N (35, 4): 	box
N (35, 46): 	coat
N (35, 47): 	bel
N (35, 9): 	jar
N (36, 22): 	tan
N (36, 29): 	rip
N (36, 62): 	din
N (36, 65): 	six
N (37, 20): 	awn
N (37, 27): 	die
N (37, 48): 	cot
N (38, 40): 	fog
N (39, 22): 	col
N (39, 22): 	colt
N (39, 27): 	fad
N (39, 43): 	spa
N (4, 18): 	fix
N (4, 4): 	ail
N (4, 40): 	roe
N (4, 58): 	pow
N (4, 66): 	vie
N (41, 38): 	vii
N (41, 52): 	ana
N (42, 11): 	his
N (42, 17): 	tee
N (42, 52): 	ban
N (42, 65): 	owe
N (43, 1): 	gay
N (43, 25): 	jay
N (43, 35): 	tat
N (44, 24): 	kid
N (44, 4): 	iii
N (44, 47): 	fee
N (44, 52): 	rob
N (45, 26): 	hue
N (45, 62): 	boo
N (46, 36): 	nod
N (46, 45): 	cat
N (47, 11): 	gym
N (47, 16): 	eat
N (47, 30): 	lee
N (47, 32): 	cow
N (47, 38): 	yam
N (47, 42): 	oaf
N (47, 49): 	vat
N (47, 6): 	ken
N (47, 62): 	fob
N (48, 25): 	age
N (48, 44): 	led
N (48, 49): 	ova
N (48, 69): 	nip
N (49, 27): 	lad
N (49, 4): 	hay
N (49, 5): 	cue
N (49, 55): 	urea
N (49, 8): 	why
N (5, 30): 	elk
N (5, 61): 	hen
N (5, 63): 	gum
N (5, 67): 	ace
N (50, 33): 	far
N (50, 36): 	oven
N (50, 61): 	log
N (51, 39): 	hut
N (51, 6): 	iii
N (51, 65): 	cup
N (51, 68): 	gab
N (52, 38): 	jog
N (53, 13): 	hug
N (53, 32): 	iii
N (53, 36): 	moo
N (53, 54): 	stud
N (53, 58): 	apt
N (53, 64): 	apt
N (53, 68): 	rig
N (53, 8): 	tid
N (54, 32): 	vii
N (54, 32): 	viii
N (54, 42): 	tea
N (54, 64): 	tap
N (54, 7): 	cam
N (55, 34): 	auk
N (55, 64): 	eta
N (55, 7): 	scam
N (55, 9): 	vie
N (56, 1): 	eat
N (58, 38): 	elm
N (58, 52): 	vow
N (59, 42): 	gay
N (59, 58): 	sane
N (59, 60): 	vii
N (6, 17): 	tor
N (6, 29): 	foe
N (6, 52): 	ana
N (6, 60): 	tab
N (6, 69): 	vie
N (60, 0): 	gog
N (60, 0): 	gogo
N (60, 34): 	rove
N (60, 57): 	aid
N (61, 52): 	gem
N (61, 54): 	ewe
N (61, 62): 	ala
N (62, 20): 	mop
N (62, 41): 	top
N (62, 56): 	viz
N (62, 6): 	pit
N (63, 31): 	hush
N (64, 41): 	gut
N (64, 46): 	foe
N (64, 53): 	tow
N (65, 24): 	tao
N (65, 51): 	doe
N (66, 4): 	ion
N (66, 45): 	hop
N (66, 8): 	paw
N (67, 12): 	she
N (67, 18): 	fin
N (67, 25): 	seq
N (68, 35): 	oak
N (68, 5): 	spy
N (68, 50): 	let
N (68, 57): 	use
N (69, 4): 	nut
N (69, 51): 	cpu
N (69, 57): 	muse
N (7, 14): 	son
N (7, 37): 	gob
N (7, 59): 	our
N (70, 54): 	are
N (70, 56): 	jig
N (70, 63): 	spa
N (71, 15): 	woe
N (71, 2): 	tid
N (71, 2): 	tide
N (71, 36): 	era
N (71, 53): 	cox
N (71, 54): 	gar
N (72, 51): 	eve
N (73, 2): 	sit
N (73, 26): 	bat
N (73, 28): 	pit
N (74, 20): 	zip
N (74, 24): 	tao
N (74, 30): 	hoc
N (74, 46): 	sob
N (75, 5): 	bub
N (76, 0): 	ani
N (76, 10): 	jab
N (76, 18): 	fee
N (76, 3): 	him
N (76, 44): 	iii
N (76, 9): 	ink
N (77, 58): 	lac
N (78, 1): 	cog
N (78, 5): 	tax
N (78, 50): 	dug
N (78, 61): 	lee
N (79, 15): 	sec
N (79, 21): 	jam
N (79, 28): 	gee
N (79, 58): 	ell
N (8, 24): 	rim
N (8, 60): 	hat
N (8, 64): 	lay
N (80, 17): 	zap
N (80, 29): 	foal
N (80, 57): 	arc
N (80, 63): 	zig
N (81, 34): 	let
N (81, 57): 	car
N (81, 60): 	few
N (81, 66): 	vii
N (82, 13): 	sib
N (82, 19): 	wife
N (82, 41): 	sip
N (82, 42): 	raw
N (82, 46): 	ask
N (82, 6): 	fat
N (83, 0): 	hue
N (83, 23): 	sea
N (83, 35): 	her
N (83, 51): 	noon
N (83, 64): 	roam
N (85, 17): 	car
N (85, 29): 	eke
N (85, 31): 	dog
N (85, 42): 	ani
N (85, 51): 	sen
N (85, 58): 	aid
N (85, 67): 	yap
N (86, 1): 	lux
N (86, 42): 	ran
N (87, 26): 	yap
N (87, 48): 	boo
N (87, 59): 	reb
N (88, 17): 	lam
N (88, 29): 	pub
N (88, 40): 	let
N (88, 52): 	hem
N (9, 45): 	ami
N (9, 64): 	ala
N (90, 18): 	rye
N (90, 19): 	mew
N (90, 27): 	con
N (90, 59): 	ply
N (90, 8): 	aft
N (91, 18): 	wry
N (91, 47): 	prior
N (92, 14): 	flu
N (92, 17): 	cap
N (92, 19): 	hum
N (92, 20): 	kid
N (92, 32): 	sea
N (92, 44): 	ore
N (92, 5): 	sow
N (93, 2): 	jay
N (93, 44): 	yore
N (93, 56): 	owe
N (93, 69): 	coke
N (94, 38): 	cry
N (95, 32): 	jab
N (95, 62): 	sex
N (96, 16): 	ova
N (96, 30): 	rho
N (96, 39): 	seq
N (96, 40): 	low
N (96, 48): 	pave
N (96, 53): 	pee
N (96, 8): 	yak
N (97, 18): 	aid
N (97, 27): 	burg
N (97, 38): 	dew
N (97, 39): 	use
N (97, 61): 	sad
N (97, 68): 	abc
N (98, 0): 	ore
N (98, 18): 	said
N (98, 60): 	hem
N (99, 38): 	did
N (99, 6): 	art
NE (10, 32): 	par
NE (100, 12): 	fit
NE (100, 29): 	coo
NE (100, 29): 	cool
NE (100, 57): 	auk
NE (101, 5): 	nag
NE (101, 52): 	due
NE (101, 54): 	she
NE (102, 54): 	ill
NE (102, 55): 	yea
NE (102, 61): 	new
NE (102, 9): 	mig
NE (103, 11): 	elk
NE (103, 32): 	bun
NE (103, 41): 	sow
NE (103, 53): 	rill
NE (103, 59): 	mum
NE (103, 66): 	gun
NE (104, 17): 	lux
NE (105, 45): 	red
NE (106, 44): 	ere
NE (106, 47): 	gnu
NE (106, 49): 	hut
NE (106, 57): 	gab
NE (106, 61): 	ala
NE (107, 27): 	ham
NE (107, 38): 	bug
NE (107, 49): 	awl
NE (108, 14): 	bub
NE (108, 15): 	ivy
NE (108, 34): 	ion
NE (108, 4): 	ban
NE (108, 4): 	bang
NE (108, 45): 	dug
NE (108, 56): 	hut
NE (109, 11): 	pap
NE (11, 24): 	rho
NE (11, 31): 	spa
NE (11, 31): 	spar
NE (11, 35): 	bag
NE (11, 57): 	hem
NE (11, 60): 	rho
NE (110, 13): 	shiv
NE (110, 18): 	gap
NE (110, 50): 	ale
NE (110, 58): 	gob
NE (111, 42): 	hem
NE (111, 6): 	acid
NE (112, 16): 	dog
NE (112, 28): 	ale
NE (112, 41): 	ahem
NE (113, 12): 	ado
NE (113, 27): 	dale
NE (113, 30): 	ode
NE (113, 65): 	act
NE (115, 11): 	web
NE (115, 30): 	bah
NE (115, 50): 	bar
NE (115, 54): 	gab
NE (115, 60): 	pal
NE (116, 24): 	pea
NE (116, 40): 	dog
NE (116, 5): 	rep
NE (116, 56): 	fan
NE (116, 57): 	too
NE (117, 22): 	sue
NE (117, 45): 	gay
NE (117, 48): 	tub
NE (117, 48): 	tuba
NE (117, 67): 	sis
NE (118, 22): 	dope
NE (118, 25): 	war
NE (118, 3): 	our
NE (119, 0): 	boo
NE (119, 11): 	gum
NE (119, 46): 	get
NE (12, 17): 	ami
NE (12, 18): 	huh
NE (12, 33): 	wile
NE (120, 26): 	due
NE (120, 60): 	ana
NE (120, 61): 	see
NE (121, 65): 	gay
NE (122, 27): 	net
NE (122, 45): 	iii
NE (122, 55): 	woe
NE (123, 56): 	tow
NE (124, 22): 	wee
NE (124, 22): 	week
NE (124, 34): 	aim
NE (124, 63): 	ore
NE (125, 15): 	cub
NE (125, 15): 	cube
NE (125, 55): 	woo
NE (126, 12): 	sew
NE (126, 16): 	add
NE (126, 32): 	via
NE (126, 46): 	rob
NE (126, 54): 	two
NE (127, 41): 	ear
NE (128, 20): 	ell
NE (128, 22): 	wit
NE (128, 27): 	tie
NE (129, 19): 	sell
NE (129, 53): 	eve
NE (13, 25): 	ace
NE (13, 27): 	pen
NE (13, 7): 	guy
NE (131, 10): 	hew
NE (131, 25): 	qua
NE (131, 39): 	jerk
NE (131, 65): 	hen
NE (132, 0): 	mug
NE (132, 26): 	lac
NE (132, 54): 	wig
NE (132, 65): 	ode
NE (133, 10): 	kick
NE (133, 35): 	sou
NE (134, 13): 	rap
NE (134, 47): 	act
NE (134, 55): 	two
NE (134, 63): 	too
NE (135, 11): 	our
NE (135, 12): 	crap
NE (135, 14): 	rho
NE (135, 15): 	dad
NE (136, 22): 	kin
NE (137, 54): 	bub
NE (137, 65): 	die
NE (14, 24): 	sac
NE (14, 7): 	dug
NE (15, 41): 	boa
NE (16, 16): 	ski
NE (16, 25): 	vet
NE (16, 3): 	roe
NE (16, 5): 	end
NE (16, 64): 	ant
NE (17, 15): 	ask
NE (17, 37): 	mob
NE (17, 61): 	rack
NE (18, 33): 	nor
NE (19, 31): 	imp
NE (19, 51): 	ass
NE (2, 13): 	mot
NE (2, 29): 	egg
NE (2, 4): 	lab
NE (20, 22): 	mat
NE (20, 26): 	yah
NE (20, 46): 	ion
NE (20, 50): 	mass
NE (20, 59): 	dub
NE (20, 7): 	lie
NE (21, 14): 	line
NE (21, 26): 	lip
NE (21, 4): 	ala
NE (22, 28): 	gnu
NE (22, 63): 	sod
NE (22, 66): 	sue
NE (23, 10): 	sea
NE (23, 11): 	did
NE (23, 20): 	kid
NE (23, 38): 	yip
NE (23, 45): 	sin
NE (23, 67): 	die
NE (24, 26): 	keg
NE (25, 1): 	boa
NE (25, 19): 	two
NE (25, 26): 	max
NE (25, 9): 	pod
NE (26, 11): 	mad
NE (26, 39): 	zoo
NE (26, 61): 	ire
NE (26, 66): 	hid
